EMPLEADO_ID,SUPERVISOR_ID,ES_TUTOR,ES_TITULAR,EDAD,AP_PATERNO,AP_MATERNO,CURP,NOMBRE,FECHA_NACIMIENTO,RFC,TELEFONO,VETERINARIA_ID
80,80,1,1,32,Cowp,Axton,BDKJ470589HMGUXLN,Ryann,08/07/2023,VTPM456848SE7,5927442187,9
81,,0,0,42,Sandry,Wildin,CYWP906182HMFAJAV,Vera,01/07/2023,GWGZ418232XI8,2235484299,4
82,,0,1,43,Berling,Saiz,LXNV958612HMMMAVI,Agneta,20/02/2024,LKQD114922MV1,4316730354,27
83,83,1,1,20,Grannell,Hanrahan,WYQF800712HMMVGSO,Glynnis,15/04/2024,WCNT657294HG1,8130630588,2
84,84,0,1,2,Richten,Longstreeth,ZCMW235988HMJTLNB,Glori,09/12/2023,ZODG827566TP0,0268199611,36
85,,1,1,45,Corse,Scougal,WKCK271051HMASRKI,Gillian,04/11/2023,JDPJ301657JU2,8423752013,22
86,,1,1,74,Cammomile,Sturte,UASG196572HMCFPUQ,Percival,07/07/2023,HSAA573050KU4,6408460281,22
87,87,0,1,16,Tisor,Giddins,HFVG780847HMKLYEN,Hynda,05/07/2023,NQRT227720SO6,3839205725,36
88,88,1,1,37,Besson,Squelch,GPVE519646HMKZDMH,Wes,24/05/2024,KFUT077004LQ1,6948639408,10
89,,0,1,63,Sperring,Gorini,CARM187719HMQNRSW,Lilly,17/07/2023,WVPE060284FN0,0527099186,36
90,,0,1,7,Barlthrop,Mahood,AITE319571HMUXMZM,Gawain,08/04/2024,ISUV103551AQ9,1967144827,34
91,91,0,0,10,Dudny,Cockshutt,EPPT143653HMWJUQX,Hilliary,04/11/2023,JMFB446877VP4,2030445470,38
92,92,0,1,10,Matkovic,Lyenyng,WJYQ415795HMCSGFD,Clerc,15/08/2023,FZGL979250YI2,8685687834,11
93,,1,0,48,Rolse,Wandrich,KBKF558813HMNVXDF,Ambur,24/10/2023,OWXD477822JM2,2241792714,21
94,,0,0,45,Hammell,Wallington,BMJB406390HMMXYLM,Shina,26/06/2023,IPWI589855OM3,6436010737,39
95,,1,0,89,Everal,Hayton,GLOI415092HMQDDOY,Chick,05/11/2023,CRBW770519SW5,4894825112,1
96,,0,1,5,Pinor,Bagshawe,YCJA689967HMGCBSZ,Mateo,20/04/2024,DUZX133006WO6,9340668685,5
97,,1,1,97,Grigolli,Pogue,WOTC290025HMCKOWT,Klara,23/08/2023,CYTW252426BB6,3118128075,18
98,,1,1,19,Petre,Renne,HGXI364559HMRBUJX,Vaughn,16/08/2023,MYUR970982CF8,4744345172,33
99,,1,0,50,Codi,Hamblen,THZV311919HMILEER,Arvin,27/02/2024,ESNM819793ZH6,4669312226,7
100,,1,1,88,Terrans,Reinert,SLZH748658HMVGTBT,Ike,10/06/2023,OSUE455795CW3,2045827625,12
101,,1,1,93,Iwanczyk,Dumbare,LUND862229HMAFGIJ,Gail,17/08/2023,WWMN428609DF2,4048550478,38
102,,0,1,98,Weems,Witcherley,IDOM956154HMXRSZG,Minni,11/11/2023,SBDI895169DG1,0384719901,5
103,,1,1,50,Futcher,Fatkin,XCIE137116HMZAAON,Maureen,20/03/2024,TDFN382878FN9,6752031737,32
104,,0,1,42,Lago,Manjin,GHGN369785HMFXSOW,Ernest,06/04/2024,HHVO883335JI0,0533425518,7
105,105,1,1,10,Joyson,Dubock,GZDS594307HMUJSGP,Skipton,08/08/2023,ZSCK620326NF5,7122934151,11
106,,1,1,59,Buxcy,Matous,XSQS276807HMRJJEO,Gennifer,01/08/2023,QSLB322628HK9,3961438373,31
107,107,0,1,93,Siggins,Trasler,CVDJ006730HMLAGDW,Violante,06/03/2024,CKGA573158DQ1,5859679378,14
108,,1,0,88,de Guise,Maddick,NZKQ602675HMUILCL,Winna,15/03/2024,USOW533340WG3,6037512759,39
109,,1,0,64,Lorincz,Desorts,FOAZ326790HMMGCRR,Roman,21/08/2023,WSOM048841IP2,8291912925,20
110,,0,0,67,Whewill,Medeway,ZAZI482111HMONRFM,Domeniga,24/06/2023,PZQU519458ZB0,7619102586,36
111,,1,1,58,Danter,Low,MLZD904304HMXLKYE,Sherri,01/10/2023,QFCQ405419YV7,7430204428,1
112,112,0,0,60,Middle,Russ,WHZK921556HMIPWBE,Levi,28/04/2024,NDFB273991EX0,2502622376,32
113,,1,1,67,Derisley,Schimank,PMTA874180HMGHOIW,Janey,15/12/2023,FMGO610494OJ8,0306476671,15
114,,1,1,83,Umbert,O'Luney,XEYQ387506HMNTFZY,Illa,20/08/2023,MHQV010427DF1,2241397582,2
115,,0,1,36,Jewett,Bertelsen,NYJI034417HMXOOMG,Raimondo,21/12/2023,GECY657859RC9,7886727568,21
116,,0,1,64,Cleft,Leneham,LUMB557203HMGYYRF,Jammie,24/11/2023,RFSI858377JZ0,2931778876,39
117,,0,0,75,Rockey,L'Archer,CPXO744968HMNPBZX,Ryon,02/12/2023,OPVB090876WM9,3404732587,6
118,118,1,1,100,Langford,Standish,CZYG466979HMHQGRY,Andi,08/03/2024,IWSO099156ML9,4326449961,31
119,,0,1,57,Andrivel,Felder,IQKQ517621HMZNOUG,Bartholemy,15/06/2023,ZPVN459129XV8,8385793741,36
120,120,1,1,16,Totterdill,Clemow,HMWD637004HMDBBLR,Flemming,14/10/2023,HMOA672748DC2,1989089606,15
121,121,1,0,97,Jouanny,Roo,UVUE150505HMXMOUK,Diarmid,05/12/2023,PUTE704074BY5,7812037883,21
122,,0,1,94,Conichie,Maving,MPBC174355HMOULRN,Gayler,21/12/2023,LRDQ854384YY4,8694598799,34
123,,1,0,1,Elmer,Lowry,SJOL698712HMKRNTV,Chen,07/07/2023,BIMY349940SJ1,6319207631,1
124,,0,1,21,Kittless,Kenealy,DUTH100854HMBVOQC,Meris,07/04/2024,DEQF915903OF7,4618563593,30
125,,0,1,49,Bandiera,Causton,GRFM211776HMWJOYK,Valentijn,20/10/2023,YNDW869036LV4,4198702825,17
126,126,0,0,68,Burnie,Brimilcombe,VYPM619270HMFZPKR,Bertie,31/08/2023,DKKF615069SE2,8600819209,37
127,127,0,0,32,Mattia,Simmill,ISQP285105HMKDNEP,Jillane,19/07/2023,RRSI349815OA6,8813754351,37
128,,1,1,99,Knox,Alldred,UOKT862248HMBGDWJ,Boyd,26/08/2023,IACC797812WA2,0251240611,34
129,,1,0,15,Rambadt,Wiffler,IGKT738112HMGPSHK,Janean,11/10/2023,ASOX388844GT5,4477095014,15
130,,1,0,81,Duddell,Howsin,LNHO325977HMNYZZE,Isac,03/07/2023,TKNT370686TB5,6899370785,29
131,,0,0,48,MacCafferty,Dowglass,EWSL843014HMRTGKK,Oralie,02/08/2023,TGDN655442GH1,0225945217,33
132,,0,1,35,Kits,Mulholland,QYMB252858HMOSNPC,Eziechiele,25/11/2023,LSPT555348XB4,6515279639,35
133,133,1,0,6,Pincott,Bessent,AMZR634929HMXIJLE,Rubetta,27/05/2024,CJCA688828DJ9,1197000737,37
134,,1,1,60,Paeckmeyer,Leonardi,FBQX075744HMPEDUF,Willette,12/10/2023,RDCI227587NU2,0134822355,39
135,135,1,0,52,Joselson,Spennock,LNQN403433HMUNTFV,Ortensia,26/08/2023,LQGQ863196TB2,9016617726,17
136,,0,1,6,Comiam,Jacquemard,ZGXL924472HMKOJGI,Mella,08/11/2023,EUGW043192FZ8,8653734991,39
137,,0,1,49,Grubey,Cockman,AMHE494367HMTBVWL,Gertrude,14/07/2023,BPRL132760BQ2,4830604531,31
138,,1,1,65,Chiddy,Succamore,ELEW887233HMWDKTD,Gabi,24/06/2023,ADWM141007DM7,0464817358,22
139,139,0,1,89,White,Cattell,JTLT100645HMLTGKC,Britney,18/09/2023,YRIZ833055LI6,4860483120,36
140,,0,0,99,Bealton,Klauber,YXMD922355HMUCROE,Max,23/04/2024,NPOQ772305MD0,0067195865,30
141,,0,0,21,Readwing,Slaney,OCVL622424HMEEAAQ,Juditha,10/05/2024,JTAI629955YF8,7707207004,0
142,142,0,1,51,Balfe,Aspy,FSZU021240HMFJNON,Heidi,27/06/2023,NCNL213697FH7,8606093825,26
143,143,1,0,53,McClay,Vinden,WYPA069176HMYFGHJ,Shayne,04/06/2024,YHSH920382SF1,9353399545,24
144,,0,1,28,Reichartz,Faccini,SGYS942549HMTZAQH,Adolpho,07/05/2024,YJAR413616NA5,4067919223,3
145,,0,1,71,Ragsdall,Ventam,SHBB044841HMHNTWV,Delora,15/10/2023,ZIFK173355BG6,0029179708,25
146,146,0,1,44,Uc,Charrisson,OEAQ009499HMRSMPF,Muire,16/07/2023,BXIV764027NK6,3831450464,26
147,,0,1,99,Fuidge,Hansford,IXGE051369HMQPWIY,Lucias,17/08/2023,GYMR782246RE1,5564647394,29
148,148,0,0,33,Dohmann,Houseman,XUKR589645HMXVQDU,Leontyne,31/10/2023,VIFG956667RD3,7562412071,31
149,,1,0,46,Etherton,Pittock,COLH728105HMITMLD,Damita,23/11/2023,EJXT128161SE8,3419589759,4
150,,0,0,42,Gianni,Baddam,FFAA240801HMSYUFK,Georgeanne,11/04/2024,DHUW935850KZ6,9427176340,9
151,,1,1,44,Uzzell,Wishart,CFPA442624HMWUIVN,Gaby,13/02/2024,DPKT454699DG0,7461975704,2
152,152,1,1,50,Klossmann,Vequaud,NEJN474504HMWGZLP,Noelani,11/03/2024,DLQB538282OR8,1884973837,29
153,,1,0,79,Passby,Muck,GJZD904418HMVDSOE,Kerrie,24/02/2024,XQSG771685GH4,1020759670,0
154,,0,1,28,Wilcot,Andrioni,TJDO446367HMSTFRS,Palmer,10/04/2024,SRYW964404IJ0,2584127400,26
155,155,1,1,26,Innman,Edmonstone,GKNG228844HMPXDWH,Nicoline,04/12/2023,EEYC582525AC3,3124261271,17
156,,0,1,16,Wiggans,Vella,MUWF859102HMTLWNP,Daren,09/02/2024,ZBXB042488SS5,0520463962,28
157,157,1,0,42,Eliyahu,South,PBBS413477HMWRYSQ,Emlyn,23/04/2024,EMZM473658AD4,2152488500,18
158,,0,1,33,Laffranconi,Feechan,DYIB907951HMCELWF,Bertha,29/07/2023,TXTK464401SM4,4433896864,6
159,,0,1,98,Collishaw,McGookin,RBVS358702HMAWMHU,Madelon,29/05/2024,UVCG325983GD7,5336363624,32
160,160,1,0,85,Swinfon,Gibbetts,OJJI578438HMDVKTT,Berky,27/01/2024,ADPY812192VI6,1299738581,8
161,161,0,0,8,Alvarado,Morbey,SFNK413495HMPEQOU,Mureil,11/05/2024,IQIY441171RA5,3876316650,28
162,162,1,1,45,Brimblecombe,Southcombe,FATH549650HMKBZOB,Griffy,07/05/2024,RHAI372142SV3,1841424976,0
163,,1,0,10,Corbie,Caves,YENK923041HMOTLEO,Romola,29/08/2023,MODC252685PY1,7607167420,1
164,,0,1,63,Edis,Gomes,JBAI095061HMGPBSS,Bronnie,13/01/2024,LTXF501276CA5,7614659636,17
165,165,1,1,28,Golton,Leavy,SMDU044495HMCPYUO,Loutitia,09/04/2024,YPTG510233CR6,2032476325,4
166,166,1,0,70,Cottill,Aubri,UYGV419142HMEVJBZ,Robbie,25/11/2023,CLFT923417TT8,8711515744,26
167,,1,0,52,Angell,Strutt,INHU247051HMDCGSW,Muhammad,21/07/2023,FRDC861574ZN4,0503092647,5
168,,0,0,2,Frude,Clemmitt,TWFK970677HMNALYP,Adams,21/08/2023,COEC675960AT7,1778380225,30
169,,1,0,69,Flintoft,Rentoll,RLUQ740605HMQQGEE,Jacenta,10/07/2023,VYFU482995GD4,5528388453,0
170,,1,1,86,Huton,MacAloren,QGMP723910HMWTLNO,Clay,25/01/2024,CIHY352532ZC0,4521260253,17
171,171,0,1,68,Roskelly,O'Hengerty,VGTV091018HMIQCAK,Lynett,17/04/2024,MICA755654WO2,0686679819,24
172,,0,0,88,Peddar,Stoller,LXQE166439HMOFQQH,Salomon,21/05/2024,SQXG075466WI1,5766264525,14
173,,1,1,65,Matej,Comelli,ZSKX656435HMAYLAF,Denys,20/09/2023,PJYK339272BE8,7910600098,36
174,,1,0,10,Antyshev,Lyster,OJPL813522HMDFMOZ,Gilbertina,27/05/2024,JWQE528131SE3,0641616687,13
175,175,0,1,83,Robrose,Titchener,DFNR156828HMIKUBN,Roana,19/10/2023,GLXT804362NW5,7794018617,4
176,,1,0,81,Jeannequin,McGoon,AWPH261803HMTCYWN,Cele,24/07/2023,RGIM314289OS9,1164868004,21
177,177,0,0,87,Preddy,Glynn,AYHR156320HMTPGZR,Tanney,25/10/2023,XKDD613764EI7,7894485862,23
178,,1,1,96,Calver,Sanderson,FQUK165097HMIBUJA,Michaella,07/04/2024,TZJM590634EK9,3292984344,24
179,179,0,1,48,Jarrell,Ure,OAGT790104HMIYZOD,Ondrea,12/04/2024,OORF397199LS7,6901500721,20
180,,1,0,90,Brownlee,Petras,XAKU609007HMFCYJZ,Lucila,08/02/2024,MCOY945267IK2,0005805460,12
181,181,0,1,74,Izakov,Pottell,MGBL496150HMUSPDT,Adoree,10/07/2023,FRFB413319RE4,6726398839,30
182,,0,0,81,Gerard,Dalrymple,IONU815390HMYRTYL,Caesar,25/06/2023,EZEC019035UN0,8024692768,11
183,183,0,1,26,Meagh,Brunt,QPNG933772HMJGMOH,Remy,29/04/2024,GCOF703279LN7,9872295721,14
184,184,1,0,8,Clewlowe,Rowling,RJIX771042HMZTSLV,Tory,25/07/2023,AUYN902300NU0,0746069854,21
185,,0,0,61,Kopfen,Cometti,XMYN327430HMAEIJC,Lyell,08/06/2023,QIXV101812LG4,7762403761,31
186,,1,0,36,Lauderdale,Beckenham,CBEK975554HMABCTL,Tori,27/09/2023,SILJ211828CP2,8645537818,33
187,,1,1,39,Bycraft,Arton,JNRB163084HMARNXJ,Axe,21/08/2023,ZSVE188833XK6,5467438587,13
188,,0,0,15,Pattinson,Mitchelmore,JTUX862355HMMRXJY,Byrle,20/10/2023,YAEQ923778ZU8,6668765973,6
189,189,1,1,80,Glyn,Snyder,TMQG315085HMBSTGR,Monique,21/10/2023,OMBE604015XY3,5047344042,22
190,190,0,0,64,Grumley,Eardley,WTUV278335HMMFJGA,Marven,09/12/2023,GPVD847255EK7,1418426397,37
191,,1,1,14,Jotham,Dunmore,BNVE664171HMTWUSY,Obed,10/10/2023,ZKJA398330WM8,5697399200,35
192,,1,1,93,Mewett,Brettoner,QXWJ431747HMLSBMG,Pen,11/05/2024,SMNA205639QQ7,0349636778,0
193,193,1,0,10,Wharmby,Culkin,QUXZ003271HMYWMKR,Blaire,27/07/2023,COSO695522KO6,8518255325,36
194,,1,0,69,Gadson,Schooling,XCIZ666318HMPNRMP,Brander,10/03/2024,IRAZ239913TH2,2505473184,28
195,,1,0,37,Fiddian,Wisniewski,PRRL143942HMHSOWD,Jermayne,14/11/2023,ZOQL164738PJ4,8581115611,13
196,,0,0,18,Fairchild,Stansby,ZRZK909624HMDVOPE,Maure,02/11/2023,WYPS147075JX6,1290130809,33
197,,0,1,92,Bruyet,Petric,VIYK160535HMZEBKO,Neall,05/07/2023,RLKH965864CH0,8380343959,18
198,,0,0,61,Cakes,Syrett,IJRT336350HMODLVL,Augustine,31/05/2024,NJCW174958DT4,4887970761,26
199,199,0,1,46,Catonne,Flewett,NXWA818365HMAVXMV,Ludvig,29/05/2024,IRYR384934RH7,9152917903,8
200,200,0,1,75,Colliber,Maureen,JJPU654354HMFWLAL,Pauletta,14/12/2023,CWNR510078NA4,7885720565,33
